Temperature,RD,Grain_size,Hardness,FT,RH
1175,93.7,0.8,15.31,5.192,0.729047619
1200,95.2,0.9,18.5,3.7,0.880952381
1225,98.2,1,20.6,4.5,0.980952381
1250,99.3,1.6,21,3.6,1
1300,99.8,4.4,19.2,3.2,0.914285714
1350,99.7,5,19.8,3.8,0.942857143
1400,100,7.2,18.1,3.6,0.861904762
1450,100,10.4,16.6,3.8,0.79047619
1500,100,17.7,16,5.2,0.761904762
1600,100,27.5,15.31,5.192,0.729047619
1200,95.8,0.7,15.31,5.192,0.729047619
1250,99.8,0.9,15.31,5.192,0.729047619
1300,100,2,15.31,5.192,0.729047619
1400,100,3.6,15.31,5.192,0.729047619
1500,100,6.8,15.31,5.192,0.729047619
1600,100,16.5,15.31,5.192,0.729047619
1200,95.8,0.5,15.31,5.192,0.729047619
1200,99.9,1.5,21.4,3.1,1.019047619
1200,100,1.7,21.9,2.9,1.042857143
1200,100,2,21.1,3.5,1.004761905
1300,99.6,2.7,20.7,4,0.985714286
1300,99.7,5.9,19.3,4.3,0.919047619
1300,100,6.7,19.1,3.9,0.90952381
1300,100,7.4,18.7,4.3,0.89047619
1125,97.6,0.5,15.31,5.192,0.729047619
1150,99.2,0.6,20.9,3.8,0.995238095
1200,98,0.5,21.5,3.2,1.023809524
1200,100,0.5,22,3.2,1.047619048
1200,100,0.6,15.31,5.192,0.729047619
1250,100,1.6,15.31,5.192,0.729047619
1250,100,1.6,15.31,5.192,0.729047619
1250,100,1.8,15.31,5.192,0.729047619
1250,100,2.4,15.31,5.192,0.729047619
1300,99.9,6.6,18.3,3.9,0.871428571
1150,99.9,1.5,22.2,3.2,1.057142857
1250,99.9,2.5,21.1,2.9,1.004761905
1300,99.8,4.5,19.5,3.4,0.928571429
1150,99.2,0.9,21.9,3.9,1.042857143
1250,99.7,1.6,22.2,3.2,1.057142857
1300,99,4.6,20.4,3.3,0.971428571
1300,99.8,3.4,18.9,3.7,0.9
1300,99.8,3,19.3,3.5,0.919047619
1300,99.5,1.8,20.2,3.5,0.961904762
1300,99.2,1.9,19.7,3.8,0.938095238
1300,95.3,2.4,15.31,5.192,0.729047619
1400,99.8,9.4,18.6,3.7,0.885714286
1400,100,5.7,19.4,3.5,0.923809524
1400,100,3.9,20,3.8,0.952380952
1400,99.8,4.3,18.5,3.9,0.880952381
1400,99.4,3.7,16.5,3.8,0.785714286
1400,90.3,3.1,15.31,5.192,0.729047619
1200,99.7,1,21.4,3.8,1.019047619
1200,99.4,1.1,21.5,3.6,1.023809524
1200,99.6,1.4,20.3,3.6,0.966666667
1300,100,4.9,18.8,4.2,0.895238095
1300,100,4.2,18,4,0.857142857
1300,100,3.3,19.9,3.9,0.947619048
1000,97.93,3.268,14.435,10,0.9021875
1050,99.35,0.7,14.828,9.55,0.92675
1100,99.89,0.8,14.22,10.95,0.88875
1400,98.62,0.78,13.543,17.3,0.8464375
1450,99.79,0.86,13.592,13.53,0.8495
1450,99.86,1.06,13.435,14.04,0.8396875
1100,97.66,0.55,14.612,10.86,0.91325
1450,99.79,0.75,14.171,15.7,0.8856875
1100,95.94,0.47,15.396,11.42,0.96225
1450,99.51,0.62,14.573,15.6,0.9108125
1100,90.08,3.268,15.563,11.43,0.9726875
1100,96.64,0.49,15.593,12.1,0.9745625
1700,94.4,3.268,32,4.3,0.842105263
1800,91,3.268,25.7,5.8,0.676315789
1800,96,3.268,33.3,3.1,0.876315789
1800,100,3.268,37.7,2.8,0.992105263
1800,90.8,0.4,2.264,5.192,0.546200241
1300,93.76,0.4,5.027,5.192,1.21278649
1300,93.16,0.4,5.125,5.192,1.236429433
1400,93.94,0.4,5.076,5.192,1.224607961
1500,94.3,0.4,3.342,5.192,0.806272618
1400,78.5,3.268,8.82,5.192,1.013793103
1500,82,3.268,10.878,5.192,1.250344828
1600,96.4,3.268,11.711,3.5,1.346091954
1700,99,3.268,12.309,2.8,1.414827586
1700,97.5,3.268,12.191,3.4,1.401264368
1700,95.5,3.268,11.329,4,1.302183908
1700,98,3.268,12.23,5.192,1.405747126
1700,96.9,3.268,11.799,5.192,1.356206897
